Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
62.62441778,10.21466,-15.0184,-32.09003,0.9009527,-0.3467719,-0.1542144,-25.69562,35.62955,3.71434,1019.85
62.63440752,9.845679,-15.85855,-32.70148,0.90504,-0.3518108,-0.1384737,-25.69562,35.62955,3.71434,1019.85
62.64439726,7.385832,-14.59833,-32.27347,0.9076165,-0.3605147,-0.1420867,-26.80094,34.87336,4.177189,1019.852
62.65438795,4.925984,-13.81819,-31.78431,0.9138396,-0.3569053,-0.1492606,-26.80094,34.87336,4.177189,1019.852
62.66437769,6.832366,-12.73799,-31.41744,0.9238999,-0.3460797,-0.1442309,-26.80094,34.87336,4.177189,1019.852
62.67436743,9.845679,-10.75764,-30.6837,0.9211011,-0.3520133,-0.1419565,-26.80094,34.87336,4.177189,1019.852
62.68435764,10.03017,-11.35775,-29.33851,0.9208204,-0.3410982,-0.1546807,-26.80094,34.87336,4.177189,1019.857
62.69434738,8.308274,-10.33757,-28.36019,0.9255356,-0.3285047,-0.1418627,-26.77939,33.75486,4.175331,1019.857
62.70433712,7.631816,-10.39758,-27.87103,0.9362433,-0.3231718,-0.1273439,-26.77939,33.75486,4.175331,1019.857
62.71432686,6.340396,-8.837297,-27.32072,0.9326853,-0.3200912,-0.1421749,-26.77939,33.75486,4.175331,1019.857
62.72431707,4.679999,-9.797469,-27.07614,0.9308445,-0.3019548,-0.1489223,-26.77939,33.75486,4.175331,1019.855
62.73430681,2.281648,-10.99768,-26.58698,0.9326395,-0.2936277,-0.1487199,-26.77939,33.75486,4.175331,1019.855
62.74429655,0.06778497,-10.09752,-27.07614,0.9251077,-0.2815339,-0.1483593,-28.25454,32.62281,4.190424,1019.855
62.75428629,-3.130017,-12.37793,-27.5653,0.9202709,-0.2387926,-0.1717964,-28.25454,32.62281,4.190424,1019.855
62.76427698,-6.389315,-13.75818,-27.74874,0.935537,-0.2408011,-0.1512339,-28.25454,32.62281,4.190424,1019.857
62.77426672,-6.020338,-11.77782,-27.44301,0.9356602,-0.2207943,-0.1497566,-28.25454,32.62281,4.190424,1019.857
62.78425694,-3.990963,-10.69763,-28.17675,0.9346099,-0.2206452,-0.1617892,-28.25454,32.62281,4.190424,1019.857
62.79424667,-1.346627,-11.41776,-28.54362,0.9341643,-0.226366,-0.1725315,-28.62153,32.24658,4.194042,1019.857
62.80423641,1.236213,-9.497416,-29.15507,0.9358782,-0.2400113,-0.1728937,-28.62153,32.24658,4.194042,1019.858
62.81422615,0.3752659,-8.837297,-29.21622,0.9367297,-0.2430146,-0.2023622,-28.62153,32.24658,4.194042,1019.858
62.82421637,-0.4856807,-10.27755,-29.15507,0.9375591,-0.2375327,-0.2094526,-28.62153,32.24658,4.194042,1019.858
62.8342061,0.006288783,-10.99768,-28.84935,0.9444157,-0.2323561,-0.1876865,-29.36502,32.23919,4.976299,1019.858
